,School,State,ACT_Score,SAT_Score,Retention_Rate,Ave_Earning,Graduation_Rate
1159,Lakeland University,WI,19.0,1008.0,0.6724,44083.0,0.3756
1160,Lawrence University,WI,29.0,1341.0,0.8499,37518.0,0.6568
1161,Maranatha Baptist University,WI,23.0,1147.0,0.7153,35487.0,0.3575
1162,Marian University,WI,20.0,1030.0,0.6534,42989.0,0.3559
1163,Marquette University,WI,27.0,1271.0,0.8718,57725.0,0.6668
1164,Milwaukee School of Engineering,WI,28.0,1295.0,0.8718,69868.0,0.4876
1165,Mount Mary University,WI,19.0,1000.0,0.7213,38193.0,0.4
1166,Ripon College,WI,24.0,1155.0,0.794,39761.0,0.6127
1167,Saint Norbert College,WI,25.0,1195.0,0.827,44901.0,0.6621
1168,Holy Family College,WI,17.0,951.0,0.4565,35778.0,0.3
1169,Viterbo University,WI,24.0,1172.0,0.77,44402.0,0.4106
1170,University of Wisconsin-Whitewater,WI,22.0,1105.0,0.822,43126.0,0.3118
1171,University of Wisconsin-Eau Claire,WI,24.0,1170.0,0.8148,44650.0,0.3685
1172,University of Wisconsin-Green Bay,WI,22.0,1120.0,0.7122,40672.0,0.311
1173,University of Wisconsin-La Crosse,WI,25.0,1220.0,0.8605,44674.0,0.4153
1174,Wisconsin Lutheran College,WI,23.0,1142.0,0.7897,43360.0,0.4333
1175,University of Wisconsin-Oshkosh,WI,22.0,1105.0,0.7795,43295.0,0.186
1176,University of Wisconsin-Parkside,WI,21.0,1065.0,0.7103,38442.0,0.169
1177,University of Wisconsin-Stout,WI,23.0,1135.0,0.6964,46343.0,0.2677
1178,University of Wisconsin-Superior,WI,22.0,1105.0,0.7029,38090.0,0.1801
1179,University of Wisconsin-Madison,WI,30.0,1365.0,0.9541,55313.0,0.6078
1180,University of Wisconsin-Milwaukee,WI,22.0,1120.0,0.7329,41703.0,0.1816
1181,University of Wisconsin-Platteville,WI,23.0,1150.0,0.7712,47069.0,0.2437
1182,University of Wisconsin-River Falls,WI,23.0,1135.0,0.7581,41381.0,0.3481
1183,University of Wisconsin-Stevens Point,WI,22.0,1120.0,0.729,40037.0,0.3387
1184,University of Wyoming,WY,25.0,1202.0,0.7806,43335.0,0.2708
1185,Stanford University,CA,34.0,1497.0,0.9882,88873.0,0.7486
1186,Purdue University-Main Campus,IN,29.0,1309.0,0.9154,54717.0,0.5536
1187,St. John's College,NM,27.0,1301.0,0.7429,31025.0,0.5455
1188,New College of Florida,FL,29.0,1323.0,0.7588,32016.0,0.5247
1189,California State University-San Marcos,CA,20.0,1047.0,0.7709,46208.0,0.158
1190,University of Washington-Bothell Campus,WA,23.0,1139.0,0.8668,55968.0,0.4182
1191,University of Washington-Tacoma Campus,WA,20.0,1078.0,0.8078,55968.0,0.4646
1192,Watkins College of Art Design & Film,TN,22.0,1084.0,0.7,29760.0,0.1064
1193,Soka University of America,CA,28.0,1296.0,0.9159,35734.0,0.8544
1194,Arizona State University-West,AZ,22.0,1132.0,0.8275,46621.0,0.568
1195,California State University-Monterey Bay,CA,20.0,1057.0,0.8275,42564.0,0.2711
1196,Arizona State University-Polytechnic,AZ,24.0,1198.0,0.8145,46621.0,0.4248
1197,Florida Gulf Coast University,FL,23.0,1143.0,0.7777,41109.0,0.2171
1198,University of Connecticut-Waterbury Campus,CT,22.0,1097.0,0.8431,56144.0,0.4349
1199,University of Connecticut-Avery Point,CT,23.0,1120.0,0.7773,56144.0,0.3294
1200,University of Connecticut-Stamford,CT,24.0,1108.0,0.7989,56144.0,0.3686
1201,The King's University,TX,23.0,1071.0,0.7333,30951.0,0.1667
