,School,State,ACT_Score,SAT_Score,Retention_Rate,Ave_Earning,Graduation_Rate
205,Spelman College,GA,24.0,1165.0,0.9064,41313.0,0.6827
206,Toccoa Falls College,GA,22.0,1077.0,0.6056,30154.0,0.4767
207,Truett McConnell University,GA,20.0,1033.0,0.6068,34753.0,0.341
208,Valdosta State University,GA,21.0,1076.0,0.6519,35864.0,0.187
209,Wesleyan College,GA,20.0,1030.0,0.7778,27524.0,0.4508
210,University of West Georgia,GA,20.0,1021.0,0.6886,37263.0,0.1948
211,Young Harris College,GA,21.0,1045.0,0.7585,33299.0,0.3013
212,Chaminade University of Honolulu,HI,22.0,1070.0,0.7905,41851.0,0.4077
213,University of Hawaii at Hilo,HI,20.0,1057.0,0.6601,36145.0,0.1878
214,University of Hawaii at Manoa,HI,24.0,1155.0,0.7914,43733.0,0.3222
215,Hawaii Pacific University,HI,23.0,1126.0,0.5958,44471.0,0.3045
216,University of Hawaii-West Oahu,HI,19.0,1008.0,0.7212,42327.0,0.0994
217,Boise Bible College,ID,21.0,1080.0,0.7059,28855.0,0.2571
218,Boise State University,ID,24.0,1140.0,0.7947,38776.0,0.211
219,University of Idaho,ID,23.0,1125.0,0.8075,39320.0,0.3416
220,Lewis-Clark State College,ID,20.0,1009.0,0.6286,34872.0,0.2193
221,Northwest Nazarene University,ID,24.0,1148.0,0.763,40736.0,0.4256
222,Brigham Young University-Idaho,ID,23.0,1140.0,0.7339,35805.0,0.172
223,School of the Art Institute of Chicago,IL,25.0,1226.0,0.8059,32203.0,0.4728
224,Aurora University,IL,21.0,1068.0,0.7519,44368.0,0.3718
225,Blackburn College,IL,20.0,1050.0,0.7034,32366.0,0.3407
226,Bradley University,IL,26.0,1212.0,0.8249,49859.0,0.5953
227,Chicago State University,IL,18.0,972.0,0.6017,32382.0,0.0394
228,University of Chicago,IL,34.0,1520.0,0.9855,62671.0,0.8898
229,Concordia University-Chicago,IL,23.0,1102.0,0.6055,39415.0,0.3494
230,Eastern Illinois University,IL,20.0,1022.0,0.6989,39262.0,0.3753
231,Elmhurst University,IL,23.0,1113.0,0.7827,47000.0,0.5107
232,Eureka College,IL,21.0,1067.0,0.6226,38773.0,0.4744
233,Greenville University,IL,21.0,1057.0,0.6955,36551.0,0.5153
234,Hebrew Theological College,IL,22.0,1100.0,0.8846,31768.0,0.0338
235,University of Illinois Chicago,IL,24.0,1145.0,0.8017,49099.0,0.3385
236,Benedictine University,IL,23.0,1110.0,0.7238,44569.0,0.33
237,University of Illinois Urbana-Champaign,IL,29.0,1338.0,0.9276,59402.0,0.6982
238,Illinois Wesleyan University,IL,27.0,1247.0,0.9127,52371.0,0.7526
239,Illinois Institute of Technology,IL,29.0,1318.0,0.8641,63663.0,0.3722
240,Illinois State University,IL,23.0,1122.0,0.7863,47399.0,0.4691
241,Judson University,IL,22.0,1086.0,0.6923,42529.0,0.5
242,Lewis University,IL,24.0,1142.0,0.822,50643.0,0.4436
243,Lincoln Christian University,IL,23.0,1113.0,0.8525,31752.0,0.3067
244,Lincoln College,IL,17.0,809.0,0.4277,29419.0,0.0513
245,Loyola University Chicago,IL,28.0,1261.0,0.8515,52854.0,0.6665
246,MacMurray College,IL,20.0,1024.0,0.7305,32265.0,0.3562
247,McKendree University,IL,24.0,1149.0,0.7869,42152.0,0.4354
248,Millikin University,IL,24.0,1125.0,0.7806,38069.0,0.4725
249,Monmouth College,IL,24.0,1114.0,0.7331,37902.0,0.4636
250,North Central College,IL,24.0,1083.0,0.8143,43530.0,0.5652
251,North Park University,IL,22.0,1080.0,0.75,45458.0,0.4075
252,Northern Illinois University,IL,22.0,1095.0,0.7275,43408.0,0.2395
253,Northwestern University,IL,34.0,1508.0,0.9742,67867.0,0.8402
254,Northeastern Illinois University,IL,19.0,995.0,0.4924,39609.0,0.0261
255,Olivet Nazarene University,IL,23.0,1129.0,0.756,42320.0,0.5292
256,Quincy University,IL,22.0,1079.0,0.6282,38047.0,0.3702
257,Rockford University,IL,21.0,1088.0,0.6623,40823.0,0.2
258,Roosevelt University,IL,24.0,1123.0,0.7361,38145.0,0.264
259,Dominican University,IL,22.0,1064.0,0.8322,44152.0,0.4938
260,University of St Francis,IL,23.0,1129.0,0.7948,50636.0,0.3818
261,Saint Xavier University,IL,22.0,1061.0,0.7433,45411.0,0.4165
262,University of Illinois Springfield,IL,24.0,1129.0,0.7726,42781.0,0.3494
263,Southern Illinois University-Carbondale,IL,23.0,1124.0,0.7208,39852.0,0.2551
264,Southern Illinois University-Edwardsville,IL,24.0,1156.0,0.7534,40915.0,0.259
265,Trinity Christian College,IL,22.0,1088.0,0.8053,43148.0,0.5401
266,Trinity International University-Illinois,IL,23.0,1095.0,0.5652,35426.0,0.3758
267,VanderCook College of Music,IL,23.0,1186.0,0.9333,38073.0,0.2609
268,Western Illinois University,IL,21.0,1037.0,0.6529,40223.0,0.2819
269,Wheaton College,IL,30.0,1340.0,0.9207,46794.0,0.7739
270,Anderson University,IN,22.0,1094.0,0.6445,38562.0,0.4971
271,Bethel University,IN,22.0,1086.0,0.7054,39705.0,0.6
272,Butler University,IN,28.0,1276.0,0.8918,57454.0,0.634
273,DePauw University,IN,26.0,1239.0,0.9109,46840.0,0.8149
274,Earlham College,IN,29.0,1294.0,0.8188,30866.0,0.5825
275,University of Evansville,IN,25.0,1203.0,0.8552,44243.0,0.6718
276,Franklin College,IN,22.0,1083.0,0.764,42262.0,0.5594
277,Goshen College,IN,24.0,1124.0,0.7256,41501.0,0.5536
278,Grace College and Theological Seminary,IN,24.0,1148.0,0.8424,36747.0,0.5614
279,Hanover College,IN,25.0,1178.0,0.7493,40989.0,0.6909
280,Holy Cross College,IN,28.0,1270.0,0.401,37618.0,0.3478
281,Huntington University,IN,23.0,1102.0,0.8211,35798.0,0.5234
282,Purdue University Fort Wayne,IN,22.0,1080.0,0.5466,35882.0,0.1327
283,Indiana University-Purdue University-Indianapolis,IN,23.0,1111.0,0.7156,42002.0,0.2434
284,University of Indianapolis,IN,22.0,1098.0,0.7398,41642.0,0.4714
285,Indiana Institute of Technology,IN,21.0,1013.0,0.6332,35502.0,0.1578
286,University of Southern Indiana,IN,22.0,1094.0,0.7192,37717.0,0.2648
287,Indiana State University,IN,20.0,1019.0,0.6199,36878.0,0.2574
288,Indiana University-Kokomo,IN,21.0,1047.0,0.6021,37115.0,0.1869
289,Indiana University-South Bend,IN,20.0,1033.0,0.6333,36707.0,0.1128
290,Indiana University-Bloomington,IN,28.0,1275.0,0.9088,47001.0,0.6398
291,Indiana University-Northwest,IN,21.0,1022.0,0.6593,32739.0,0.1495
292,Indiana University-Southeast,IN,20.0,1050.0,0.591,37322.0,0.165
293,Indiana University-East,IN,21.0,1037.0,0.6525,37381.0,0.2548
294,Marian University,IN,23.0,1125.0,0.7745,45860.0,0.3502
295,Indiana Wesleyan University-Marion,IN,24.0,1139.0,0.7908,49124.0,0.5394
296,University of Notre Dame,IN,34.0,1502.0,0.981,76123.0,0.9148
297,Oakland City University,IN,19.0,1013.0,0.6495,36933.0,0.4227
298,Rose-Hulman Institute of Technology,IN,31.0,1387.0,0.9173,79785.0,0.6737
299,University of Saint Francis-Fort Wayne,IN,21.0,1062.0,0.7441,41658.0,0.3994
300,Saint Mary-of-the-Woods College,IN,20.0,1027.0,0.7197,33202.0,0.4265
301,Saint Mary's College,IN,25.0,1186.0,0.8481,49118.0,0.7266
302,Taylor University,IN,26.0,1211.0,0.8571,38679.0,0.7505
303,Trine University,IN,24.0,1144.0,0.7957,45217.0,0.4818
304,Valparaiso University,IN,26.0,1204.0,0.7968,47544.0,0.6307
305,Wabash College,IN,26.0,1223.0,0.8571,47697.0,0.6587
306,Buena Vista University,IA,22.0,1094.0,0.5961,38666.0,0.4605
307,Central College,IA,24.0,1156.0,0.7857,41571.0,0.675
308,Clarke University,IA,21.0,1058.0,0.7099,43095.0,0.6065
309,Coe College,IA,25.0,1211.0,0.745,43025.0,0.6226
310,Cornell College,IA,27.0,1240.0,0.8167,36662.0,0.6987
311,Dordt University,IA,25.0,1219.0,0.7607,41889.0,0.6932
312,Drake University,IA,27.0,1278.0,0.8931,54644.0,0.6845
313,University of Dubuque,IA,19.0,998.0,0.6621,40489.0,0.3091
314,Emmaus Bible College,IA,22.0,1120.0,0.6667,28962.0,0.3333
315,Faith Baptist Bible College and Theological Seminary,IA,22.0,1101.0,0.68,28349.0,0.383
316,Graceland University-Lamoni,IA,21.0,1056.0,0.6096,37822.0,0.4089
317,Grand View University,IA,21.0,1060.0,0.7073,42643.0,0.3586
318,Grinnell College,IA,32.0,1450.0,0.9239,43599.0,0.777
319,Iowa State University,IA,25.0,1219.0,0.8748,48810.0,0.4655
320,Iowa Wesleyan University,IA,21.0,1044.0,0.6731,37352.0,0.1518
321,University of Iowa,IA,26.0,1233.0,0.864,48768.0,0.5311
322,Loras College,IA,22.0,1113.0,0.8095,44088.0,0.5952
323,Luther College,IA,26.0,1236.0,0.843,44001.0,0.7189
324,Morningside University,IA,23.0,1135.0,0.7119,40553.0,0.4469
325,Mount Mercy University,IA,22.0,1120.0,0.6681,46497.0,0.5253
326,University of Northern Iowa,IA,24.0,1169.0,0.8379,43071.0,0.4008
327,Northwestern College,IA,24.0,1183.0,0.7473,40388.0,0.5993
328,Saint Ambrose University,IA,23.0,1132.0,0.8004,46441.0,0.5407
329,Simpson College,IA,23.0,1136.0,0.7669,43356.0,0.6373
330,Upper Iowa University,IA,21.0,1063.0,0.7097,43333.0,0.3374
331,Waldorf University,IA,20.0,1028.0,0.5918,38821.0,0.2288
332,Wartburg College,IA,23.0,1143.0,0.7924,43742.0,0.6266
333,Baker University,KS,23.0,1126.0,0.8125,48706.0,0.4158
334,Benedictine College,KS,25.0,1194.0,0.7913,39168.0,0.423
335,Bethany College,KS,21.0,1035.0,0.6667,38134.0,0.1527
336,Bethel College-North Newton,KS,21.0,1077.0,0.5574,39732.0,0.4059
337,Emporia State University,KS,22.0,1118.0,0.7483,37417.0,0.2562
338,Friends University,KS,21.0,1078.0,0.7471,38504.0,0.2888
339,University of Kansas,KS,26.0,1250.0,0.8394,46973.0,0.4705
340,Newman University,KS,23.0,1143.0,0.7761,41657.0,0.4045
341,Kansas Wesleyan University,KS,23.0,1115.0,0.5824,42374.0,0.2806
342,Manhattan Christian College,KS,22.0,1115.0,0.5122,31427.0,0.2895
343,McPherson College,KS,21.0,1084.0,0.6965,39462.0,0.2971
344,MidAmerica Nazarene University,KS,22.0,1104.0,0.6697,50098.0,0.33
345,Ottawa University-Ottawa,KS,19.0,1024.0,0.505,42665.0,0.3439
346,Pittsburg State University,KS,23.0,1150.0,0.7516,39179.0,0.2642
347,University of Saint Mary,KS,21.0,1083.0,0.6154,45019.0,0.3739
348,Southwestern College,KS,21.0,1050.0,0.5372,42143.0,0.381
349,Sterling College,KS,20.0,1039.0,0.5,35619.0,0.3885
350,Tabor College,KS,21.0,1066.0,0.6691,41710.0,0.3357
351,Wichita State University,KS,23.0,1152.0,0.7304,39996.0,0.209
352,Alice Lloyd College,KY,21.0,1054.0,0.4833,28625.0,0.0725
353,Bellarmine University,KY,25.0,1211.0,0.7868,44265.0,0.5644
354,Berea College,KY,25.0,1192.0,0.831,30747.0,0.4769
355,Brescia University,KY,22.0,1118.0,0.627,32661.0,0.2357
356,Campbellsville University,KY,21.0,1082.0,0.6275,32356.0,0.2987
357,Centre College,KY,30.0,1354.0,0.9027,44830.0,0.7977
358,University of the Cumberlands,KY,23.0,1141.0,0.6238,33995.0,0.2331
359,Eastern Kentucky University,KY,23.0,1147.0,0.7301,34723.0,0.2974
360,Georgetown College,KY,23.0,1146.0,0.6295,36010.0,0.5297
361,Kentucky Mountain Bible College,KY,20.0,1032.0,0.6667,25267.0,0.2308
362,Kentucky State University,KY,17.0,937.0,0.5605,28586.0,0.0489
363,Kentucky Wesleyan College,KY,23.0,1115.0,0.6927,35560.0,0.3376
364,University of Kentucky,KY,26.0,1239.0,0.8454,43231.0,0.4419
365,Kentucky Christian University,KY,19.0,1016.0,0.7012,35322.0,0.2988
366,University of Louisville,KY,26.0,1227.0,0.8027,40653.0,0.3211
367,Midway University,KY,21.0,1081.0,0.7398,32779.0,0.3077
368,Morehead State University,KY,23.0,1150.0,0.7375,32395.0,0.2787
369,Murray State University,KY,24.0,1180.0,0.7932,33889.0,0.313
370,Northern Kentucky University,KY,23.0,1148.0,0.6857,38625.0,0.2192
371,Spalding University,KY,21.0,1065.0,0.7378,39884.0,0.2281
372,Thomas More University,KY,22.0,1099.0,0.6332,44902.0,0.3577
373,Transylvania University,KY,27.0,1275.0,0.8156,35470.0,0.7152
374,Union College,KY,21.0,1056.0,0.6371,31293.0,0.1942
375,Western Kentucky University,KY,24.0,1162.0,0.7147,33301.0,0.3176
376,Centenary College of Louisiana,LA,24.0,1173.0,0.763,39447.0,0.5506
377,Grambling State University,LA,18.0,944.0,0.7241,27399.0,0.1032
378,Louisiana State University-Alexandria,LA,20.0,1050.0,0.5641,32533.0,0.1299
379,Louisiana State University and Agricultural & Mechanical College,LA,26.0,1242.0,0.8382,44326.0,0.3884
380,Louisiana State University-Shreveport,LA,23.0,1133.0,0.6286,35071.0,0.1626
381,Louisiana College,LA,21.0,1084.0,0.6298,39073.0,0.1615
382,Louisiana Tech University,LA,25.0,1219.0,0.7858,40209.0,0.347
383,Loyola University New Orleans,LA,25.0,1192.0,0.8477,35432.0,0.5168
384,McNeese State University,LA,23.0,1127.0,0.6992,35891.0,0.3198
385,University of New Orleans,LA,23.0,1136.0,0.711,36166.0,0.1795
386,Nicholls State University,LA,22.0,1117.0,0.7429,35674.0,0.2203
387,University of Louisiana at Monroe,LA,23.0,1135.0,0.7134,34857.0,0.2284
388,Northwestern State University of Louisiana,LA,22.0,1102.0,0.7075,35254.0,0.2918
389,Franciscan Missionaries of Our Lady University,LA,22.0,1120.0,0.7705,49307.0,0.2162
390,Southeastern Louisiana University,LA,22.0,1105.0,0.6739,36197.0,0.1735
391,Southern University and A & M College,LA,19.0,1019.0,0.6422,31782.0,0.0861
392,Southern University at New Orleans,LA,17.0,925.0,0.4845,27291.0,0.0702
393,University of Louisiana at Lafayette,LA,25.0,1202.0,0.7482,35980.0,0.192
394,Tulane University of Louisiana,LA,32.0,1428.0,0.9422,46457.0,0.7492
395,Xavier University of Louisiana,LA,23.0,1133.0,0.7469,35999.0,0.3618
396,Colby College,ME,32.0,1437.0,0.9367,47810.0,0.8765
397,University of Maine at Fort Kent,ME,19.0,1005.0,0.6311,41539.0,0.2365
398,University of Maine,ME,25.0,1156.0,0.7786,38035.0,0.3972
399,Maine Maritime Academy,ME,24.0,1104.0,0.8354,67462.0,0.5325
400,University of New England,ME,23.0,1146.0,0.7585,44713.0,0.5916
401,Saint Joseph's College of Maine,ME,21.0,1069.0,0.8268,47687.0,0.5228
402,University of Southern Maine,ME,22.0,1050.0,0.699,37949.0,0.2046
403,University of Baltimore,MD,22.0,1020.0,0.7664,47830.0,0.1535
404,Capitol Technology University,MD,20.0,1070.0,0.7167,73041.0,0.1846
405,Washington Adventist University,MD,17.0,958.0,0.7864,45320.0,0.1732
406,Coppin State University,MD,18.0,958.0,0.6319,35933.0,0.1224
407,Frostburg State University,MD,20.0,1025.0,0.7687,39374.0,0.2792
408,Johns Hopkins University,MD,34.0,1513.0,0.9717,75418.0,0.8699
409,University of Maryland-Baltimore County,MD,27.0,1274.0,0.8715,49729.0,0.437
410,University of Maryland-College Park,MD,31.0,1390.0,0.9524,59719.0,0.7033
411,Maryland Institute College of Art,MD,26.0,1178.0,0.886,33152.0,0.6406
412,University of Maryland Eastern Shore,MD,18.0,960.0,0.625,33202.0,0.2063
413,Morgan State University,MD,18.0,998.0,0.7206,36112.0,0.1298
414,Mount St. Mary's University,MD,22.0,1104.0,0.7366,48213.0,0.6152
415,Notre Dame of Maryland University,MD,24.0,1069.0,0.6883,48197.0,0.4063
416,St. Mary's College of Maryland,MD,26.0,1188.0,0.8182,42860.0,0.7208
417,St. John's College,MD,29.0,1331.0,0.9098,28709.0,0.7041
418,Towson University,MD,23.0,1131.0,0.85,48390.0,0.4703
419,Stevenson University,MD,22.0,1113.0,0.7859,46856.0,0.4432
420,McDaniel College,MD,24.0,1151.0,0.8022,43563.0,0.595
421,American International College,MA,19.0,1010.0,0.6423,44961.0,0.0695
422,Amherst College,MA,33.0,1449.0,0.9597,54333.0,0.8467
423,Babson College,MA,30.0,1367.0,0.9455,78443.0,0.8913
424,Boston Baptist College,MA,20.0,1010.0,0.7,32365.0,0.6
425,Becker College,MA,23.0,1087.0,0.7278,35972.0,0.3604
426,Bentley University,MA,30.0,1338.0,0.9322,78514.0,0.8174
427,Boston College,MA,33.0,1429.0,0.949,70858.0,0.8831
428,Boston University,MA,32.0,1420.0,0.9437,58876.0,0.8357
429,Brandeis University,MA,31.0,1398.0,0.9241,52141.0,0.8012
430,Bridgewater State University,MA,22.0,1073.0,0.7805,40839.0,0.3614
431,Curry College,MA,20.0,1026.0,0.614,39424.0,0.4452
432,Dean College,MA,20.0,1018.0,0.6381,25641.0,0.2444
433,Eastern Nazarene College,MA,20.0,1054.0,0.6601,35200.0,0.2912
434,Emerson College,MA,29.0,1307.0,0.8679,44415.0,0.7529
435,Emmanuel College,MA,26.0,1195.0,0.7764,49367.0,0.5823
436,Fitchburg State University,MA,22.0,1078.0,0.7337,42587.0,0.3726
437,Framingham State University,MA,21.0,1046.0,0.6979,43426.0,0.4071
438,Gordon College,MA,26.0,1184.0,0.8309,37017.0,0.5736
439,Harvard University,MA,34.0,1520.0,0.9911,77816.0,0.867
440,Lasell University,MA,21.0,1074.0,0.678,42408.0,0.5665
441,Lesley University,MA,26.0,1128.0,0.8021,34818.0,0.4683
442,University of Massachusetts-Lowell,MA,27.0,1240.0,0.8509,51874.0,0.3787
443,University of Massachusetts-Amherst,MA,29.0,1302.0,0.9073,52450.0,0.7073
444,MCPHS University,MA,25.0,1144.0,0.8042,96681.0,0.5
445,Massachusetts Institute of Technology,MA,35.0,1545.0,0.9872,112623.0,0.8515
446,Massachusetts Maritime Academy,MA,23.0,1127.0,0.8593,79354.0,0.5552
447,Mount Holyoke College,MA,31.0,1395.0,0.9168,40180.0,0.7722
448,Massachusetts College of Liberal Arts,MA,23.0,1112.0,0.7003,35243.0,0.4416
449,Northeastern University,MA,33.0,1466.0,0.9659,65632.0,0.0
450,College of Our Lady of the Elms,MA,21.0,1070.0,0.7919,38562.0,0.5412
451,Salem State University,MA,23.0,1065.0,0.7431,46526.0,0.3702
452,Simmons University,MA,27.0,1228.0,0.8,53249.0,0.7631
453,Springfield College,MA,25.0,1156.0,0.8076,37987.0,0.6802
454,University of Massachusetts-Dartmouth,MA,23.0,1093.0,0.7093,44797.0,0.3723
455,Suffolk University,MA,24.0,1131.0,0.7609,47459.0,0.4471
456,Tufts University,MA,33.0,1461.0,0.9603,54590.0,0.8669
457,Wellesley College,MA,32.0,1435.0,0.9585,58175.0,0.8393
458,Wentworth Institute of Technology,MA,25.0,1183.0,0.8271,64328.0,0.523
459,Western New England University,MA,25.0,1160.0,0.7823,52274.0,0.5239
460,Westfield State University,MA,23.0,1086.0,0.7463,43458.0,0.5319
461,Wheaton College (Massachusetts),MA,29.0,1280.0,0.8705,44809.0,0.7505
462,Williams College,MA,34.0,1490.0,0.9854,59277.0,0.8958
463,Adrian College,MI,23.0,1072.0,0.7089,40392.0,0.3046
464,Albion College,MI,23.0,1132.0,0.7495,43913.0,0.525
465,Alma College,MI,23.0,1135.0,0.7868,40539.0,0.5103
466,Andrews University,MI,24.0,1182.0,0.8162,41315.0,0.3564
467,Aquinas College,MI,24.0,1133.0,0.7724,36917.0,0.3598
468,Calvin University,MI,27.0,1270.0,0.8658,43573.0,0.62
469,Central Michigan University,MI,24.0,1115.0,0.7727,42092.0,0.278
470,Cleary University,MI,19.0,1039.0,0.7,48709.0,0.0476
471,Concordia University Ann Arbor,MI,21.0,1085.0,0.7421,43294.0,0.1908
472,College for Creative Studies,MI,24.0,1097.0,0.8143,35298.0,0.4395
473,University of Detroit Mercy,MI,24.0,1163.0,0.834,56293.0,0.5282
474,Eastern Michigan University,MI,19.0,1025.0,0.7158,39128.0,0.1663
475,Ferris State University,MI,23.0,1070.0,0.7628,43412.0,0.3044
476,Kettering University,MI,28.0,1287.0,0.9137,77432.0,0.0836
477,Cornerstone University,MI,23.0,1089.0,0.7935,36194.0,0.4662
478,Grand Valley State University,MI,24.0,1158.0,0.8471,42033.0,0.3675
479,Hope College,MI,26.0,1233.0,0.8922,44047.0,0.7048
480,Lake Superior State University,MI,22.0,1075.0,0.7664,37445.0,0.3548
481,Lawrence Technological University,MI,26.0,1174.0,0.8073,53584.0,0.2037
482,Madonna University,MI,22.0,1078.0,0.764,44860.0,0.3521
483,Rochester University,MI,20.0,1002.0,0.6561,37333.0,0.1654
484,University of Michigan-Ann Arbor,MI,32.0,1434.0,0.9727,62027.0,0.7905
485,Michigan State University,MI,26.0,1224.0,0.9193,50137.0,0.5347
486,Michigan Technological University,MI,27.0,1272.0,0.8365,62106.0,0.3122
487,University of Michigan-Dearborn,MI,27.0,1195.0,0.7818,46193.0,0.2155
488,University of Michigan-Flint,MI,23.0,1097.0,0.7248,40995.0,0.1453
489,Northern Michigan University,MI,23.0,1091.0,0.7519,35323.0,0.2561
490,Northwood University,MI,22.0,1090.0,0.7901,49169.0,0.4053
491,Oakland University,MI,25.0,1145.0,0.7639,42445.0,0.2624
492,Olivet College,MI,19.0,964.0,0.6,37866.0,0.3867
493,Kuyper College,MI,21.0,981.0,0.75,31979.0,0.3788
494,Saginaw Valley State University,MI,23.0,1101.0,0.7742,38904.0,0.1167
495,Spring Arbor University,MI,23.0,1134.0,0.7993,39162.0,0.3834
496,Finlandia University,MI,20.0,1002.0,0.6806,31363.0,0.1818
497,Wayne State University,MI,24.0,1127.0,0.7857,40269.0,0.1843
498,Western Michigan University,MI,23.0,1107.0,0.7992,40533.0,0.2323
499,Augsburg University,MN,22.0,1110.0,0.7172,44044.0,0.4895
500,Bemidji State University,MN,22.0,1105.0,0.7243,43299.0,0.2955
501,Bethany Lutheran College,MN,22.0,1120.0,0.8015,37943.0,0.4632
502,Bethel University,MN,25.0,1216.0,0.8485,49758.0,0.6797
503,Carleton College,MN,33.0,1453.0,0.9713,48030.0,0.8786
504,Concordia College at Moorhead,MN,24.0,1192.0,0.8451,43354.0,0.6962
505,Martin Luther College,MN,24.0,1189.0,0.8508,35543.0,0.4469
506,Hamline University,MN,24.0,1170.0,0.7406,46060.0,0.5473
507,Macalester College,MN,31.0,1410.0,0.9576,40959.0,0.8502
508,Minnesota State University-Mankato,MN,22.0,1105.0,0.7442,45056.0,0.2524
509,University of Minnesota-Twin Cities,MN,29.0,1336.0,0.9272,51092.0,0.6547
510,University of Minnesota-Crookston,MN,22.0,1104.0,0.6823,46771.0,0.4245
511,Minneapolis College of Art and Design,MN,23.0,1133.0,0.8647,33820.0,0.55
512,University of Minnesota-Duluth,MN,24.0,1172.0,0.7869,46596.0,0.357
513,University of Minnesota-Morris,MN,25.0,1206.0,0.7756,39760.0,0.5208
514,Minnesota State University Moorhead,MN,23.0,1132.0,0.7175,39289.0,0.3133
515,North Central University,MN,22.0,1107.0,0.801,34950.0,0.0474
516,University of Northwestern-St Paul,MN,24.0,1187.0,0.7724,39803.0,0.5444
517,Oak Hills Christian College,MN,20.0,1014.0,0.2353,28209.0,0.2941
518,College of Saint Benedict,MN,25.0,1195.0,0.8863,47749.0,0.7429
519,Saint Cloud State University,MN,21.0,1086.0,0.7207,43406.0,0.1936
520,Saint Johns University,MN,25.0,1209.0,0.871,56662.0,0.6793
521,Saint Mary's University of Minnesota,MN,23.0,1148.0,0.8233,47010.0,0.5579
522,St Olaf College,MN,29.0,1320.0,0.9056,43815.0,0.8192
523,Crown College,MN,21.0,1078.0,0.7829,36847.0,0.4176
524,The College of Saint Scholastica,MN,23.0,1150.0,0.7988,52390.0,0.6113
525,University of St Thomas,MN,27.0,1269.0,0.8576,56089.0,0.6438
526,St Catherine University,MN,22.0,1124.0,0.7829,46704.0,0.4677
527,Southwest Minnesota State University,MN,20.0,1047.0,0.6505,39166.0,0.3264
528,Winona State University,MN,22.0,1119.0,0.7768,45279.0,0.367
529,Alcorn State University,MS,20.0,1026.0,0.7254,27087.0,0.1883
530,Blue Mountain College,MS,22.0,1112.0,0.7302,32534.0,0.4
531,Delta State University,MS,21.0,1084.0,0.6698,31541.0,0.1768
532,Jackson State University,MS,20.0,1018.0,0.533,29441.0,0.2367
533,Millsaps College,MS,25.0,1212.0,0.786,38423.0,0.6
534,University of Mississippi,MS,25.0,1207.0,0.8493,38763.0,0.4383
535,Mississippi University for Women,MS,21.0,1085.0,0.6267,35208.0,0.2582
536,Mississippi Valley State University,MS,17.0,945.0,0.6169,24183.0,0.1675
537,Mississippi College,MS,25.0,1199.0,0.7979,37704.0,0.4108
538,Mississippi State University,MS,26.0,1230.0,0.7981,37538.0,0.312
539,University of Southern Mississippi,MS,22.0,1120.0,0.7172,33869.0,0.2683
540,Tougaloo College,MS,20.0,1011.0,0.7436,25088.0,0.1852
541,William Carey University,MS,25.0,1206.0,0.8497,33051.0,0.148
542,Avila University,MO,21.0,1080.0,0.6831,40645.0,0.3429
543,Calvary University,MO,23.0,1117.0,0.6216,28810.0,0.1333
544,Central Methodist University-College of Liberal Arts and Sciences,MO,22.0,1106.0,0.7345,38713.0,0.3456
545,University of Central Missouri,MO,22.0,1105.0,0.6971,38123.0,0.289
546,Conception Seminary College,MO,23.0,1155.0,0.8571,33978.0,0.2857
547,Cottey College,MO,22.0,1096.0,0.6628,29230.0,0.5833
548,Culver-Stockton College,MO,21.0,1058.0,0.6689,34105.0,0.4028
549,Drury University,MO,26.0,1227.0,0.831,32347.0,0.4571
550,Fontbonne University,MO,21.0,1079.0,0.741,38709.0,0.5074
551,Lindenwood University,MO,23.0,1117.0,0.7026,40434.0,0.3291
552,Maryville University of Saint Louis,MO,23.0,1146.0,0.856,47446.0,0.5718
553,Midwestern Baptist Theological Seminary,MO,23.0,1118.0,0.6316,30411.0,0.0
554,Missouri Baptist University,MO,21.0,1074.0,0.663,35291.0,0.244
555,Missouri Southern State University,MO,21.0,1085.0,0.6108,33600.0,0.1535
556,Missouri Valley College,MO,19.0,997.0,0.441,33924.0,0.1283
557,University of Missouri-Columbia,MO,26.0,1244.0,0.8739,46683.0,0.4588
558,University of Missouri-Kansas City,MO,25.0,1204.0,0.7315,43346.0,0.2271
559,Missouri University of Science and Technology,MO,28.0,1313.0,0.8337,65427.0,0.2285
560,University of Missouri-St Louis,MO,24.0,1179.0,0.7564,41078.0,0.317
561,Truman State University,MO,27.0,1279.0,0.8347,39862.0,0.5607
562,Northwest Missouri State University,MO,22.0,1104.0,0.7797,37907.0,0.2739
563,Ozark Christian College,MO,24.0,1163.0,0.8113,29823.0,0.2153
564,College of the Ozarks,MO,24.0,1174.0,0.752,31255.0,0.5309
565,Rockhurst University,MO,25.0,1204.0,0.8558,50571.0,0.6906
566,Saint Louis University,MO,28.0,1304.0,0.8958,53847.0,0.691
567,Saint Louis Christian College,MO,21.0,1061.0,1.0,30095.0,0.4118
568,Southwest Baptist University,MO,22.0,1100.0,0.7108,32122.0,0.3374
569,Stephens College,MO,23.0,1138.0,0.6357,34186.0,0.4672
570,Southeast Missouri State University,MO,23.0,1135.0,0.744,34146.0,0.2779
571,Missouri State University-Springfield,MO,24.0,1169.0,0.7766,37811.0,0.2992
572,Washington University in St Louis,MO,34.0,1506.0,0.9667,64543.0,0.8759
573,Webster University,MO,24.0,1181.0,0.7789,38977.0,0.4574
574,Westminster College,MO,23.0,1133.0,0.7644,39516.0,0.4942
575,William Jewell College,MO,26.0,1228.0,0.7273,47164.0,0.5672
